,,,Split 1,,,,Split 2,,,,Split 3,,,
ID,SMILES,Expr,DCW,Calc,Expr-Calc,Set,DCW,Calc,Expr-Calc,Set,DCW,Calc,Expr-Calc,Set
84,CCCOP(=O)(SCCN(c1ccc(cc1)OC)C)OCCC,4.95,47.10263,4.6899,0.2601,Te,37.66226,4.7024,0.2476,Te,42.3537,4.6183,0.3317,Te
85,CCCOP(=O)(SCCN(c1ccc(cc1)C)C)OCCC,5.2,47.92172,4.9073,0.2927,Te,39.11985,5.1058,0.0942,Te,43.25391,4.8923,0.3077,Te
86,CCCOP(=O)(SCCN(c1cccc(c1)C)C)OCCC,5.26,49.35316,5.2872,-0.0272,Tr,40.12856,5.3849,-0.1249,ST,44.5938,5.3002,-0.0402,Ca
87,CCCOP(=O)(OCCC)SCCN(c1ccccc1)C,5.23,49.79007,5.4031,-0.1731,Te,42.23776,5.9685,-0.7385,Te,46.03052,5.7376,-0.5076,Te
88,CCCOP(=O)(SCCN(c1cccc(c1)OC)C)OCCC,5.18,48.53407,5.0698,0.1102,Tr,38.67097,4.9815,0.1985,ST,43.69359,5.0262,0.1538,Ca
89,CCCOP(=O)(SCCN(c1ccc(cc1)Cl)C)OCCC,5.67,50.87636,5.6914,-0.0214,Tr,41.38357,5.7322,-0.0622,Ca,45.94412,5.7113,-0.0413,ST
90,CCCOP(=O)(SCCN(c1cccc(c1)Cl)C)OCCC,5.49,52.3078,6.0713,-0.5813,Va,42.39228,6.0113,-0.5213,Va,47.28401,6.1192,-0.6292,Va
91,CCCCOP(=O)(SCCN(c1ccc(cc1)OC)C)OCCCC,5.43,48.16419,4.9716,0.4584,Tr,38.73545,4.9994,0.4306,Ca,43.41166,4.9404,0.4896,ST
92,CCCCOP(=O)(SCCN(c1ccc(cc1)C)C)OCCCC,6.11,48.98328,5.189,0.921,Va,40.19304,5.4027,0.7073,Va,44.31187,5.2144,0.8956,Va
93,CCCCOP(=O)(SCCN(c1cccc(c1)C)C)OCCCC,5.67,50.41472,5.5689,0.1011,Te,41.20175,5.6818,-0.0118,Te,45.65176,5.6223,0.0477,Te
94,CCCCOP(=O)(OCCCC)SCCN(c1ccccc1)C,5.83,50.85163,5.6848,0.1452,Va,43.31096,6.2655,-0.4355,Va,47.08848,6.0597,-0.2297,Va
95,CCCCOP(=O)(SCCN(c1cccc(c1)OC)C)OCCCC,5.51,49.59563,5.3515,0.1585,Tr,39.74416,5.2785,0.2315,ST,44.75155,5.3483,0.1617,Ca
96,CCCCOP(=O)(OCCCC)SCCN(c1ccc(cc1)Cl)C,6.08,50.41075,5.5678,0.5122,Tr,40.95211,5.6128,0.4672,Ca,45.98088,5.7225,0.3575,ST
97,CCCCOP(=O)(SCCN(c1cccc(c1)Cl)C)OCCCC,5.73,53.36935,6.353,-0.623,Tr,43.46547,6.3082,-0.5782,ST,48.34197,6.4413,-0.7113,Ca
98,CCCOP(=O)(SCC[N+](c1ccc(cc1)OC)(C)C)OCCC,7.18,56.01368,7.0548,0.1252,Tr,45.84079,6.9655,0.2145,Ca,50.62312,7.1358,0.0442,ST
99,CCCOP(=O)(SCC[N+](c1ccc(cc1)C)(C)C)OCCC,7.56,56.83277,7.2722,0.2878,Tr,47.29838,7.3689,0.1911,Ca,51.52333,7.4098,0.1502,ST
100,CCCOP(=O)(SCC[N+](c1cccc(c1)C)(C)C)OCCC,7.41,58.26421,7.6521,-0.2421,Tr,48.30709,7.648,-0.238,ST,52.86322,7.8177,-0.4077,Ca
101,CCCOP(=O)(OCCC)SCC[N+](c1ccccc1)(C)C,7.45,56.95573,7.3048,0.1452,Tr,46.54025,7.1591,0.2909,ST,51.20461,7.3128,0.1372,Ca
102,CCCOP(=O)(SCC[N+](c1cccc(c1)OC)(C)C)OCCC,7.34,57.44512,7.4347,-0.0947,Tr,46.8495,7.2446,0.0954,Ca,51.96301,7.5437,-0.2037,ST
